"lat" "long" "id" "nome" "nil" "nilname"
"119" 45.4477417524713 9.2098568379879 105 "Piazzale Lodi" 27 "PORTA ROMANA"
"120" 45.4801969441237 9.21108528971672 113 "Buenos Aires - Lima" 21 "BUENOS AIRES - VENEZIA"
"121" 45.4765747030145 9.19176936149597 77 "Sant'Angelo - P.ta Nuova" 2 "BRERA"
"122" 45.4849359733637 9.20624256134033 200 "P.zza Luigi di Savoia" 10 "CENTRALE"
"123" 45.4715575333015 9.14538994431496 144 "Brescia" 58 "DE ANGELI - MONTE ROSA"
"124" 45.4496507344921 9.17280614376068 156 "Arcole - Argelati" 44 "NAVIGLI"
"125" 45.4604655111597 9.18189615011215 35 "Torino - Carrobbio" 1 "DUOMO"
"126" 45.4839460287448 9.18220331674092 191 "Farini - Quadrio" 9 "GARIBALDI REPUBBLICA"
"127" 45.4670873149608 9.15532350540161 174 "Vercelli - Piemonte" 68 "PAGANO"
"128" 45.4534854385523 9.21251624822617 140 "Cirene - Friuli" 26 "XXII MARZO"
"129" 45.4431008879351 9.18945064549916 305 "Spadolini - Centro Leoni" 37 "EX OM - MORIVIONE"
"130" 45.4552013747679 9.18075352907181 54 "Sant'Eustorgio- P.ta Ticinese" 6 "TICINESE"
"131" 45.4909258555569 9.14540072684758 221 "Accursio - Portello" 71 "VILLAPIZZONE"
"132" 45.4788240556337 9.22167062759399 211 "Bernini" 21 "BUENOS AIRES - VENEZIA"
"133" 45.4522285574077 9.19747710227966 88 "Beatrice d'Este - Cassolo" 5 "VIGENTINA"
"134" 45.47545281424 9.1683255136013 180 "Canova - Sangiorgio" 68 "PAGANO"
"135" 45.4638780946823 9.16886329650879 40 "Morozzo della Rocca" 7 "MAGENTA - S. VITTORE"
"136" 45.489129305668 9.19098615646362 196 "Lagosta" 11 "ISOLA"
"137" 45.4948893634155 9.17637085317665 256 "Lancetti Passante - Maloja" 78 "FARINI"
"138" 45.4444796804971 9.18266862630844 151 "Balilla - Tibaldi" 6 "TICINESE"
"139" 45.488990300766 9.18225696092122 204 "Valtellina - Farini" 11 "ISOLA"
"140" 45.5001103140391 9.17841469634368 262 "Livigno - Monte San Genesio" 79 "DERGANO"
"141" 45.4814835733829 9.1558734656428 309 "Carlo Magno - Alcuino" 67 "PORTELLO"
"142" 45.460017758853 9.19022440910339 8 "Velasca" 1 "DUOMO"
"143" 45.4802336167138 9.18230921030045 184 "Porta Volta civ. 5" 2 "BRERA"
"144" 45.4750794732908 9.17171984910965 103 "Arco della Pace 2 - Pagano" 8 "PARCO SEMPIONE"
"145" 45.4523433336445 9.1777803003788 47 "Gorizia 1" 44 "NAVIGLI"
"146" 45.4644123503584 9.21136021614075 129 "Fiamma" 26 "XXII MARZO"
"147" 45.4561458700108 9.19573903083801 30 "Crocetta" 4 "GUASTALLA"
"148" 45.5034828997716 9.16896661517058 260 "Baldinucci - Maffucci" 77 "BOVISA"
"149" 45.4445041443867 9.21203747391701 303 "Benaco - Brembo" 35 "LODI - CORVETTO"
"150" 45.4724142924997 9.20156747102737 53 "Palestro 1" 3 "GIARDINI PORTA VENEZIA"
"151" 45.4642129456631 9.18670803308487 45 "Cantù" 1 "DUOMO"
"152" 45.4822054385213 9.20330286026001 112 "Napo Torriani" 10 "CENTRALE"
"153" 45.4595060375771 9.19839441776276 14 "San Barnaba H Mangiagalli" 4 "GUASTALLA"
"154" 45.4799430563077 9.19285297393799 46 "Porta Nuova" 9 "GARIBALDI REPUBBLICA"
"155" 45.4632173225162 9.19865475967526 61 "Augusto" 1 "DUOMO"
"156" 45.4813309624015 9.21491682529449 117 "Bacone - Monteverdi" 21 "BUENOS AIRES - VENEZIA"
"157" 45.480199765093 9.20751929283142 111 "B.Marcello - Boscovich" 21 "BUENOS AIRES - VENEZIA"
"158" 45.4878756166295 9.2124841153327 208 "Brianza - Venini" 20 "LORETO"
"159" 45.4858300443208 9.21754544382566 207 "Loreto 1" 21 "BUENOS AIRES - VENEZIA"
"160" 45.4653961952754 9.20306548476219 86 "Mascagni" 4 "GUASTALLA"
"161" 45.4682780284177 9.21466737985611 128 "Indipendenza-Castel Morrone" 21 "BUENOS AIRES - VENEZIA"
"162" 45.4518769831585 9.19416462780191 89 "Patellani" 5 "VIGENTINA"
"163" 45.4969106226505 9.20821599662304 296 "Gioia - Cassina De' Pomm" 13 "GRECO"
"164" 45.4666057554561 9.16981279850006 51 "Santa Maria delle Grazie" 7 "MAGENTA - S. VITTORE"
"165" 45.4657385617546 9.17576059699059 85 "D'Ancona" 1 "DUOMO"
"166" 45.4878694583636 9.19621109962463 199 "Galvani - Restelli - RL" 9 "GARIBALDI REPUBBLICA"
"167" 45.5113308991058 9.21090222895145 323 "Temolo - Innovazione" 15 "BICOCCA"
"168" 45.4593686998265 9.19293344020844 44 "Richini" 1 "DUOMO"
